Laplacian_1,Laplacian_2,Laplacian_3,largest_Hessian_1,largest_Hessian_2,largest_Hessian_3,middle_Hessian_1,middle_Hessian_2,middle_Hessian_3,smallest_Hessian_1,smallest_Hessian_2,smallest_Hessian_3,class
94.579971,7.628922,-4.01449,109.106346,20.816597,7.311082,21.938131,14.613432,4.116673,7.411761,1.425757,0.820081,1
94.669861,-42.400795,-24.873537,238.316071,44.671776,15.743878,133.17659,30.495617,11.563269,10.46962,28.22464,2.433609,1
95.044281,18.125357,-0.788809,68.082634,17.816975,7.085665,29.787678,7.897669,6.701704,2.826027,7.589287,1.172771,1
95.827553,17.753405,-2.799997,58.704548,32.879631,10.224455,43.924541,16.686207,9.646999,6.801537,1.559982,3.377454,1
96.474472,18.175961,-1.212244,63.846474,19.344215,6.803687,24.394068,8.754268,6.223544,8.233927,7.586012,0.632101,1
103.420242,6.826815,-9.871615,132.809631,36.334686,10.637212,44.390751,22.242571,8.703662,15.001359,7.265302,7.938066,1
111.203384,-3.998611,-14.523066,170.073181,45.852543,12.360663,55.330391,27.01893,11.097052,3.53941,22.832224,8.934648,1
114.850418,15.893129,-6.139165,112.364487,37.912964,11.009343,14.457698,21.484732,7.729073,11.971764,0.535104,2.858894,1
116.317635,-6.032887,-7.886782,140.284424,21.571192,8.91746,43.589642,20.769875,5.561361,19.62285,5.231568,4.530684,1
118.056999,14.735807,-5.314807,101.111832,26.861427,8.801751,31.762562,14.47863,7.909082,14.817394,2.35301,4.422138,1
138.944824,4.674726,-8.165993,139.724747,34.193863,9.991405,25.636101,21.077015,9.264992,24.856192,8.442123,7.43958,1
139.1604,12.696197,-5.000563,105.405312,26.617359,8.598123,34.988201,15.133791,7.751518,1.23311,1.212629,4.153959,1
142.159912,-29.34976,-22.099617,238.472183,42.623383,15.515519,75.265221,30.99642,8.340098,21.047056,17.722797,1.756002,1
158.320801,8.143875,-10.207884,139.860123,40.601616,12.274841,14.947696,25.323509,7.787005,3.512982,7.134231,5.720046,1
169.501831,0.016609,-13.343832,164.046661,44.027962,12.813033,16.709724,27.053873,8.902529,11.254543,16.957481,8.371732,1
